perfmode,transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
APS,1554.92,625,42,4053.5,103,202,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,1103.54,538,42,4019,103,202,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,877.309,628,42,4070.6,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,352.42,628,18,1693.3,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,206.778,244,18,1669.6,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,1999.65,622,50,3855.3,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,1096.36,626,18,1609.5,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,679.262,623,18,1640.3,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,3518.4,632,42,4017.2,103,202,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1529.53,539,42,4007.2,103,202,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,1120.44,627,42,4050.6,103,202,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,696.069,624,34,3065.2,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,298.576,534,6,264.4,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,151.242,233,6,447.6,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,1659.67,536,34,3019.2,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,995.334,622,34,1492,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,522.56,621,34,1449.3,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,2914.39,637,34,2967.1,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1388.25,641,34,2128.3,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,882.584,626,34,2159.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
